model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-25_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,25,0.12929536174814185,0.9734658392544449,2024-05-28 15:30:15.754913,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-26_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,26,0.04072218180252076,0.98425609303582,2024-05-28 15:42:20.369993,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-26_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,26,0.13039467033954208,0.9720492238011851,2024-05-28 15:42:20.369993,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-27_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,27,0.04053994463142215,0.9843944555625256,2024-05-28 15:54:19.247423,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-27_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,27,0.1241858734143095,0.9732529054839028,2024-05-28 15:54:19.247423,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-28_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,28,0.04033847257090712,0.9845595609971168,2024-05-28 16:06:23.832288,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-28_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,28,0.1157459780324957,0.9727207894160833,2024-05-28 16:06:23.832288,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-29_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,29,0.03989686700441417,0.9845653035417068,2024-05-28 16:18:29.595902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-29_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,29,0.12001460438979597,0.9737633119780436,2024-05-28 16:18:29.595902,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-30_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,30,0.03980684189558242,0.9846267947635134,2024-05-28 16:30:36.729562,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-30_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,30,0.12793870712931524,0.9729212425495013,2024-05-28 16:30:36.729562,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-31_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,31,0.04013656973446437,0.9846229308208713,2024-05-28 16:42:39.949220,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-31_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,31,0.12354403490136409,0.9736149228852373,2024-05-28 16:42:39.949220,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-32_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,32,0.03815780254784196,0.9851543073548051,2024-05-28 16:54:42.953559,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-32_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,32,0.1344920112972212,0.9734059511382005,2024-05-28 16:54:42.953559,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-33_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,33,0.038425156670816495,0.9849705730977998,2024-05-28 17:06:43.692156,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-33_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,33,0.14118226886132795,0.9730929197114087,2024-05-28 17:06:43.692156,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-34_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,34,0.03849937175052605,0.9850898701435817,2024-05-28 17:18:50.621383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-34_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,34,0.1332345540587116,0.9733049063846988,2024-05-28 17:18:50.621383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-35_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,35,0.03828491317848594,0.9850704301066919,2024-05-28 17:31:00.356494,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

